title,description,category,text
Перевод текстов,Можно заказать отдельную услугу или полный комплекс работ. Цена обсуждается.,Услуги,Перевод текстов. Можно заказать отдельную услугу или полный комплекс работ. Цена обсуждается.
Гараж,Есть мебель и бытовая техника. Реальные фотографии.,Недвижимость,Гараж. Есть мебель и бытовая техника. Реальные фотографии.
Квартира студия,"Квартира светлая, после ремонта. Самовывоз.",Недвижимость,"Квартира студия. Квартира светлая, после ремонта. Самовывоз."
Мужской свитер,Можно примерить перед покупкой. Цена обсуждается.,Одежда,Мужской свитер. Можно примерить перед покупкой. Цена обсуждается.
Квартира после ремонта,"Рядом школа, детский сад и магазины. Можно посмотреть перед покупкой.",Недвижимость,"Квартира после ремонта. Рядом школа, детский сад и магазины. Можно посмотреть перед покупкой."
Volkswagen Polo,Продаю в связи с покупкой другого автомобиля. Есть дополнительные фотографии.,Автомобили,Volkswagen Polo. Продаю в связи с покупкой другого автомобиля. Есть дополнительные фотографии.
Видеокарта NVIDIA,"Есть коробка, документы и необходимые аксессуары. Цена обсуждается.",Электроника,"Видеокарта NVIDIA. Есть коробка, документы и необходимые аксессуары. Цена обсуждается."
Фотоаппарат Canon,"Есть коробка, документы и необходимые аксессуары. Пишите в сообщения.",Электроника,"Фотоаппарат Canon. Есть коробка, документы и необходимые аксессуары. Пишите в сообщения."
Женская зимняя куртка,"Носилось несколько раз, без заметных повреждений. Цена обсуждается.",Одежда,"Женская зимняя куртка. Носилось несколько раз, без заметных повреждений. Цена обсуждается."
Уборка квартир,"Работаю по договоренности, сроки согласовываем заранее. Можно посмотреть перед покупкой.",Услуги,"Уборка квартир. Работаю по договоренности, сроки согласовываем заранее. Можно посмотреть перед покупкой."
Кресло для гостиной,Продается в связи с переездом. Возможен торг.,Мебель,Кресло для гостиной. Продается в связи с переездом. Возможен торг.
Kia Rio,Автомобиль в хорошем техническом состоянии. Возможен торг.,Автомобили,Kia Rio. Автомобиль в хорошем техническом состоянии. Возможен торг.
Вечернее платье,"Материал качественный, выглядит аккуратно. Самовывоз.",Одежда,"Вечернее платье. Материал качественный, выглядит аккуратно. Самовывоз."
Летнее платье,Можно примерить перед покупкой. Возможен торг.,Одежда,Летнее платье. Можно примерить перед покупкой. Возможен торг.
Компьютерный стол,"Есть небольшие следы эксплуатации, на функциональность не влияют. Срочная продажа.",Мебель,"Компьютерный стол. Есть небольшие следы эксплуатации, на функциональность не влияют. Срочная продажа."
Монтаж видео,Стоимость зависит от объема и сложности задачи. Реальные фотографии.,Услуги,Монтаж видео. Стоимость зависит от объема и сложности задачи. Реальные фотографии.
Перевод текстов,"Работаю по договоренности, сроки согласовываем заранее. Срочная продажа.",Услуги,"Перевод текстов. Работаю по договоренности, сроки согласовываем заранее. Срочная продажа."
Однокомнатная квартира,"Рядом школа, детский сад и магазины. Пишите в сообщения.",Недвижимость,"Однокомнатная квартира. Рядом школа, детский сад и магазины. Пишите в сообщения."
Ремонт квартир,Можно заказать отдельную услугу или полный комплекс работ. Самовывоз.,Услуги,Ремонт квартир. Можно заказать отдельную услугу или полный комплекс работ. Самовывоз.
Toyota Corolla,Двигатель и коробка работают без нареканий. Срочная продажа.,Автомобили,Toyota Corolla. Двигатель и коробка работают без нареканий. Срочная продажа.
Садовый дом,"Хороший район, рядом магазины и остановки. Возможен торг.",Недвижимость,"Садовый дом. Хороший район, рядом магазины и остановки. Возможен торг."
Двухкомнатная квартира,Подойдет для проживания семьи. Самовывоз.,Недвижимость,Двухкомнатная квартира. Подойдет для проживания семьи. Самовывоз.
Ford Focus,"Один владелец, бережная эксплуатация. Срочная продажа.",Автомобили,"Ford Focus. Один владелец, бережная эксплуатация. Срочная продажа."
Гараж,Тихий район с удобным подъездом. Срочная продажа.,Недвижимость,Гараж. Тихий район с удобным подъездом. Срочная продажа.
Ноутбук ASUS,"Есть коробка, документы и необходимые аксессуары. Можно посмотреть перед покупкой.",Электроника,"Ноутбук ASUS. Есть коробка, документы и необходимые аксессуары. Можно посмотреть перед покупкой."
Угловой диван,"Хорошее состояние, без серьезных повреждений. Можно посмотреть перед покупкой.",Мебель,"Угловой диван. Хорошее состояние, без серьезных повреждений. Можно посмотреть перед покупкой."
Земельный участок,Дополнительную информацию и фотографии отправлю в сообщении. Подробности расскажу по телефону.,Недвижимость,Земельный участок. Дополнительную информацию и фотографии отправлю в сообщении. Подробности расскажу по телефону.
Женское пальто,Подойдет для повседневной носки. Возможен торг.,Одежда,Женское пальто. Подойдет для повседневной носки. Возможен торг.
Гараж,В квартире никто не проживает. Подробности расскажу по телефону.,Недвижимость,Гараж. В квартире никто не проживает. Подробности расскажу по телефону.
Toyota Corolla,"Салон аккуратный, без посторонних запахов. Срочная продажа.",Автомобили,"Toyota Corolla. Салон аккуратный, без посторонних запахов. Срочная продажа."
Дом с участком,Документы готовы к сделке. Есть дополнительные фотографии.,Недвижимость,Дом с участком. Документы готовы к сделке. Есть дополнительные фотографии.
Земельный участок,"Хороший район, рядом магазины и остановки. Возможен торг.",Недвижимость,"Земельный участок. Хороший район, рядом магазины и остановки. Возможен торг."
Уборка квартир,Можно заказать отдельную услугу или полный комплекс работ. Есть дополнительные фотографии.,Услуги,Уборка квартир. Можно заказать отдельную услугу или полный комплекс работ. Есть дополнительные фотографии.
Hyundai Creta,Есть комплект зимней резины. Самовывоз.,Автомобили,Hyundai Creta. Есть комплект зимней резины. Самовывоз.
Компьютерный стол,Можно забрать самостоятельно. Реальные фотографии.,Мебель,Компьютерный стол. Можно забрать самостоятельно. Реальные фотографии.
Гараж,"Хороший район, рядом магазины и остановки. Возможен торг.",Недвижимость,"Гараж. Хороший район, рядом магазины и остановки. Возможен торг."
Ноутбук ASUS,"Отличное состояние, без серьезных следов использования. Реальные фотографии.",Электроника,"Ноутбук ASUS. Отличное состояние, без серьезных следов использования. Реальные фотографии."
Тумба под телевизор,Можно забрать самостоятельно. Самовывоз.,Мебель,Тумба под телевизор. Можно забрать самостоятельно. Самовывоз.
Студия в центре,"Квартира светлая, после ремонта. Цена обсуждается.",Недвижимость,"Студия в центре. Квартира светлая, после ремонта. Цена обсуждается."
Комод для спальни,Прочная конструкция и аккуратный внешний вид. Самовывоз.,Мебель,Комод для спальни. Прочная конструкция и аккуратный внешний вид. Самовывоз.
Квартира после ремонта,Документы готовы к сделке. Реальные фотографии.,Недвижимость,Квартира после ремонта. Документы готовы к сделке. Реальные фотографии.
Зимние ботинки,Без пятен и повреждений. Доставка обсуждается отдельно.,Одежда,Зимние ботинки. Без пятен и повреждений. Доставка обсуждается отдельно.
Hyundai Solaris,Продаю в связи с покупкой другого автомобиля. Подробности расскажу по телефону.,Автомобили,Hyundai Solaris. Продаю в связи с покупкой другого автомобиля. Подробности расскажу по телефону.
Спортивный костюм,"Хранилось аккуратно, внешний вид сохранен. Подробности расскажу по телефону.",Одежда,"Спортивный костюм. Хранилось аккуратно, внешний вид сохранен. Подробности расскажу по телефону."
Фотограф на мероприятие,Предварительно обсуждаем требования и результат. Реальные фотографии.,Услуги,Фотограф на мероприятие. Предварительно обсуждаем требования и результат. Реальные фотографии.
Видеокарта NVIDIA,"Полностью исправен, использовался аккуратно, все функции работают. Есть дополнительные фотографии.",Электроника,"Видеокарта NVIDIA. Полностью исправен, использовался аккуратно, все функции работают. Есть дополнительные фотографии."
Создание презентации,Свяжитесь со мной для уточнения деталей. Возможен торг.,Услуги,Создание презентации. Свяжитесь со мной для уточнения деталей. Возможен торг.
Шкаф купе,Можно забрать самостоятельно. Самовывоз.,Мебель,Шкаф купе. Можно забрать самостоятельно. Самовывоз.
Студия в центре,Тихий район с удобным подъездом. Можно посмотреть перед покупкой.,Недвижимость,Студия в центре. Тихий район с удобным подъездом. Можно посмотреть перед покупкой.
Комод для спальни,Мебель чистая и готова к использованию. Можно посмотреть перед покупкой.,Мебель,Комод для спальни. Мебель чистая и готова к использованию. Можно посмотреть перед покупкой.
Детская куртка,"Оригинальная вещь, покупалась в магазине. Можно посмотреть перед покупкой.",Одежда,"Детская куртка. Оригинальная вещь, покупалась в магазине. Можно посмотреть перед покупкой."
Книжный шкаф,"Есть небольшие следы эксплуатации, на функциональность не влияют. Срочная продажа.",Мебель,"Книжный шкаф. Есть небольшие следы эксплуатации, на функциональность не влияют. Срочная продажа."
Ford Focus,"Один владелец, бережная эксплуатация. Возможен торг.",Автомобили,"Ford Focus. Один владелец, бережная эксплуатация. Возможен торг."
Планшет Samsung,"Есть коробка, документы и необходимые аксессуары. Срочная продажа.",Электроника,"Планшет Samsung. Есть коробка, документы и необходимые аксессуары. Срочная продажа."
Телевизор LG,"Отличное состояние, без серьезных следов использования. Цена обсуждается.",Электроника,"Телевизор LG. Отличное состояние, без серьезных следов использования. Цена обсуждается."
iPhone в отличном состоянии,В комплекте зарядное устройство и оригинальная упаковка. Самовывоз.,Электроника,iPhone в отличном состоянии. В комплекте зарядное устройство и оригинальная упаковка. Самовывоз.
Ford Focus,"Пробег подтвержден, документы в порядке. Есть дополнительные фотографии.",Автомобили,"Ford Focus. Пробег подтвержден, документы в порядке. Есть дополнительные фотографии."
Toyota Camry,Двигатель и коробка работают без нареканий. Срочная продажа.,Автомобили,Toyota Camry. Двигатель и коробка работают без нареканий. Срочная продажа.
Ford Focus,Готов к проверке на любом сервисе. Есть дополнительные фотографии.,Автомобили,Ford Focus. Готов к проверке на любом сервисе. Есть дополнительные фотографии.
Мужские кроссовки,"Материал качественный, выглядит аккуратно. Реальные фотографии.",Одежда,"Мужские кроссовки. Материал качественный, выглядит аккуратно. Реальные фотографии."
Детская куртка,"Продаю в связи с тем, что не подошел размер. Реальные фотографии.",Одежда,"Детская куртка. Продаю в связи с тем, что не подошел размер. Реальные фотографии."
Kia Rio,Регулярно проходил техническое обслуживание. Подробности расскажу по телефону.,Автомобили,Kia Rio. Регулярно проходил техническое обслуживание. Подробности расскажу по телефону.
Участок под строительство,"Хороший район, рядом магазины и остановки. Можно посмотреть перед покупкой.",Недвижимость,"Участок под строительство. Хороший район, рядом магазины и остановки. Можно посмотреть перед покупкой."
Умные часы,"Использовался дома, хранился бережно. Срочная продажа.",Электроника,"Умные часы. Использовался дома, хранился бережно. Срочная продажа."
Студия в центре,"Хороший район, рядом магазины и остановки. Доставка обсуждается отдельно.",Недвижимость,"Студия в центре. Хороший район, рядом магазины и остановки. Доставка обсуждается отдельно."
Комод для спальни,"Подойдет для квартиры, дома или офиса. Подробности расскажу по телефону.",Мебель,"Комод для спальни. Подойдет для квартиры, дома или офиса. Подробности расскажу по телефону."
Таунхаус,"Квартира светлая, после ремонта. Подробности расскажу по телефону.",Недвижимость,"Таунхаус. Квартира светлая, после ремонта. Подробности расскажу по телефону."
Nissan Qashqai,Подойдет для города и дальних поездок. Подробности расскажу по телефону.,Автомобили,Nissan Qashqai. Подойдет для города и дальних поездок. Подробности расскажу по телефону.
Детская куртка,"Оригинальная вещь, покупалась в магазине. Доставка обсуждается отдельно.",Одежда,"Детская куртка. Оригинальная вещь, покупалась в магазине. Доставка обсуждается отдельно."
Kia Sportage,Регулярно проходил техническое обслуживание. Реальные фотографии.,Автомобили,Kia Sportage. Регулярно проходил техническое обслуживание. Реальные фотографии.
Умные часы,"Использовался дома, хранился бережно. Можно посмотреть перед покупкой.",Электроника,"Умные часы. Использовался дома, хранился бережно. Можно посмотреть перед покупкой."
Угловой диван,Удобный вариант для небольшой комнаты. Подробности расскажу по телефону.,Мебель,Угловой диван. Удобный вариант для небольшой комнаты. Подробности расскажу по телефону.
Садовый дом,Рядом находится общественный транспорт и необходимая инфраструктура. Доставка обсуждается отдельно.,Недвижимость,Садовый дом. Рядом находится общественный транспорт и необходимая инфраструктура. Доставка обсуждается отдельно.
Детская куртка,Можно примерить перед покупкой. Самовывоз.,Одежда,Детская куртка. Можно примерить перед покупкой. Самовывоз.
Volkswagen Tiguan,"Салон аккуратный, без посторонних запахов. Есть дополнительные фотографии.",Автомобили,"Volkswagen Tiguan. Салон аккуратный, без посторонних запахов. Есть дополнительные фотографии."
Телевизор LG,"Есть коробка, документы и необходимые аксессуары. Срочная продажа.",Электроника,"Телевизор LG. Есть коробка, документы и необходимые аксессуары. Срочная продажа."
Перевод текстов,Свяжитесь со мной для уточнения деталей. Реальные фотографии.,Услуги,Перевод текстов. Свяжитесь со мной для уточнения деталей. Реальные фотографии.
Renault Logan,Есть комплект зимней резины. Подробности расскажу по телефону.,Автомобили,Renault Logan. Есть комплект зимней резины. Подробности расскажу по телефону.
Комната в общежитии,"Хороший район, рядом магазины и остановки. Подробности расскажу по телефону.",Недвижимость,"Комната в общежитии. Хороший район, рядом магазины и остановки. Подробности расскажу по телефону."
Комната в общежитии,Дополнительную информацию и фотографии отправлю в сообщении. Реальные фотографии.,Недвижимость,Комната в общежитии. Дополнительную информацию и фотографии отправлю в сообщении. Реальные фотографии.
Игровая приставка,Хороший вариант для дома или офиса. Подробности расскажу по телефону.,Электроника,Игровая приставка. Хороший вариант для дома или офиса. Подробности расскажу по телефону.
Электронная книга,"Полностью исправен, использовался аккуратно, все функции работают. Самовывоз.",Электроника,"Электронная книга. Полностью исправен, использовался аккуратно, все функции работают. Самовывоз."
Репетитор по английскому,Свяжитесь со мной для уточнения деталей. Срочная продажа.,Услуги,Репетитор по английскому. Свяжитесь со мной для уточнения деталей. Срочная продажа.
Разработка сайта,Предварительно обсуждаем требования и результат. Подробности расскажу по телефону.,Услуги,Разработка сайта. Предварительно обсуждаем требования и результат. Подробности расскажу по телефону.
Ремонт квартир,"Большой опыт, возможен выезд к заказчику. Реальные фотографии.",Услуги,"Ремонт квартир. Большой опыт, возможен выезд к заказчику. Реальные фотографии."
Кресло для гостиной,Можно забрать самостоятельно. Цена обсуждается.,Мебель,Кресло для гостиной. Можно забрать самостоятельно. Цена обсуждается.
Мужская куртка,Без пятен и повреждений. Есть дополнительные фотографии.,Одежда,Мужская куртка. Без пятен и повреждений. Есть дополнительные фотографии.
Фотограф на мероприятие,Стоимость зависит от объема и сложности задачи. Доставка обсуждается отдельно.,Услуги,Фотограф на мероприятие. Стоимость зависит от объема и сложности задачи. Доставка обсуждается отдельно.
Кожаная сумка,Подойдет для повседневной носки. Можно посмотреть перед покупкой.,Одежда,Кожаная сумка. Подойдет для повседневной носки. Можно посмотреть перед покупкой.
BMW 3 серии,Продаю в связи с покупкой другого автомобиля. Самовывоз.,Автомобили,BMW 3 серии. Продаю в связи с покупкой другого автомобиля. Самовывоз.
Компьютерное кресло,"Использовалась аккуратно, все механизмы работают. Есть дополнительные фотографии.",Мебель,"Компьютерное кресло. Использовалась аккуратно, все механизмы работают. Есть дополнительные фотографии."
Мужские кроссовки,Можно примерить перед покупкой. Срочная продажа.,Одежда,Мужские кроссовки. Можно примерить перед покупкой. Срочная продажа.
Стеллаж,Прочная конструкция и аккуратный внешний вид. Реальные фотографии.,Мебель,Стеллаж. Прочная конструкция и аккуратный внешний вид. Реальные фотографии.
Ноутбук Lenovo,Хороший вариант для дома или офиса. Подробности расскажу по телефону.,Электроника,Ноутбук Lenovo. Хороший вариант для дома или офиса. Подробности расскажу по телефону.
Ноутбук Lenovo,Хороший вариант для дома или офиса. Доставка обсуждается отдельно.,Электроника,Ноутбук Lenovo. Хороший вариант для дома или офиса. Доставка обсуждается отдельно.
Мужская куртка,"Хранилось аккуратно, внешний вид сохранен. Реальные фотографии.",Одежда,"Мужская куртка. Хранилось аккуратно, внешний вид сохранен. Реальные фотографии."
Уборка квартир,"Большой опыт, возможен выезд к заказчику. Можно посмотреть перед покупкой.",Услуги,"Уборка квартир. Большой опыт, возможен выезд к заказчику. Можно посмотреть перед покупкой."
Монитор для компьютера,Продаю в связи с покупкой новой модели. Возможен торг.,Электроника,Монитор для компьютера. Продаю в связи с покупкой новой модели. Возможен торг.
Трехкомнатная квартира,Рядом находится общественный транспорт и необходимая инфраструктура. Подробности расскажу по телефону.,Недвижимость,Трехкомнатная квартира. Рядом находится общественный транспорт и необходимая инфраструктура. Подробности расскажу по телефону.
Джинсы Levi's,Без пятен и повреждений. Возможен торг.,Одежда,Джинсы Levi's. Без пятен и повреждений. Возможен торг.
Гараж,"Квартира светлая, после ремонта. Реальные фотографии.",Недвижимость,"Гараж. Квартира светлая, после ремонта. Реальные фотографии."
Kia Rio,Готов к проверке на любом сервисе. Есть дополнительные фотографии.,Автомобили,Kia Rio. Готов к проверке на любом сервисе. Есть дополнительные фотографии.
Настройка рекламы,"Большой опыт, возможен выезд к заказчику. Цена обсуждается.",Услуги,"Настройка рекламы. Большой опыт, возможен выезд к заказчику. Цена обсуждается."
Renault Logan,"Салон аккуратный, без посторонних запахов. Цена обсуждается.",Автомобили,"Renault Logan. Салон аккуратный, без посторонних запахов. Цена обсуждается."
Прикроватная тумба,Мебель чистая и готова к использованию. Пишите в сообщения.,Мебель,Прикроватная тумба. Мебель чистая и готова к использованию. Пишите в сообщения.
Kia Sportage,Двигатель и коробка работают без нареканий. Подробности расскажу по телефону.,Автомобили,Kia Sportage. Двигатель и коробка работают без нареканий. Подробности расскажу по телефону.
Nissan Qashqai,"Один владелец, бережная эксплуатация. Срочная продажа.",Автомобили,"Nissan Qashqai. Один владелец, бережная эксплуатация. Срочная продажа."
Фотоаппарат Canon,"Отличное состояние, без серьезных следов использования. Подробности расскажу по телефону.",Электроника,"Фотоаппарат Canon. Отличное состояние, без серьезных следов использования. Подробности расскажу по телефону."
Кресло для гостиной,Продается в связи с переездом. Реальные фотографии.,Мебель,Кресло для гостиной. Продается в связи с переездом. Реальные фотографии.
Игровая приставка,"Отличное состояние, без серьезных следов использования. Возможен торг.",Электроника,"Игровая приставка. Отличное состояние, без серьезных следов использования. Возможен торг."
Kia Rio,"Салон аккуратный, без посторонних запахов. Есть дополнительные фотографии.",Автомобили,"Kia Rio. Салон аккуратный, без посторонних запахов. Есть дополнительные фотографии."
Беспроводные наушники,"Полностью исправен, использовался аккуратно, все функции работают. Реальные фотографии.",Электроника,"Беспроводные наушники. Полностью исправен, использовался аккуратно, все функции работают. Реальные фотографии."
Фотосессия,"Работаю с частными клиентами, стоимость обсуждается заранее. Можно посмотреть перед покупкой.",Услуги,"Фотосессия. Работаю с частными клиентами, стоимость обсуждается заранее. Можно посмотреть перед покупкой."
Загородный дом,Рядом находится общественный транспорт и необходимая инфраструктура. Реальные фотографии.,Недвижимость,Загородный дом. Рядом находится общественный транспорт и необходимая инфраструктура. Реальные фотографии.
Летнее платье,"Размер указан на фотографии, состояние отличное. Пишите в сообщения.",Одежда,"Летнее платье. Размер указан на фотографии, состояние отличное. Пишите в сообщения."
Гараж,В квартире никто не проживает. Есть дополнительные фотографии.,Недвижимость,Гараж. В квартире никто не проживает. Есть дополнительные фотографии.
Ремонт компьютеров,Работаю аккуратно и соблюдаю сроки. Срочная продажа.,Услуги,Ремонт компьютеров. Работаю аккуратно и соблюдаю сроки. Срочная продажа.
Мужские кроссовки,Подойдет для повседневной носки. Можно посмотреть перед покупкой.,Одежда,Мужские кроссовки. Подойдет для повседневной носки. Можно посмотреть перед покупкой.
Женские кеды,"Материал качественный, выглядит аккуратно. Цена обсуждается.",Одежда,"Женские кеды. Материал качественный, выглядит аккуратно. Цена обсуждается."
Классическая рубашка,"Размер указан на фотографии, состояние отличное. Подробности расскажу по телефону.",Одежда,"Классическая рубашка. Размер указан на фотографии, состояние отличное. Подробности расскажу по телефону."
Репетитор по английскому,Можно заказать отдельную услугу или полный комплекс работ. Реальные фотографии.,Услуги,Репетитор по английскому. Можно заказать отдельную услугу или полный комплекс работ. Реальные фотографии.
Квартира рядом с метро,Дополнительную информацию и фотографии отправлю в сообщении. Возможен торг.,Недвижимость,Квартира рядом с метро. Дополнительную информацию и фотографии отправлю в сообщении. Возможен торг.
Настройка рекламы,Примеры выполненных работ отправлю по запросу. Доставка обсуждается отдельно.,Услуги,Настройка рекламы. Примеры выполненных работ отправлю по запросу. Доставка обсуждается отдельно.
Фотосессия,Свяжитесь со мной для уточнения деталей. Цена обсуждается.,Услуги,Фотосессия. Свяжитесь со мной для уточнения деталей. Цена обсуждается.
Гараж,"Квартира светлая, после ремонта. Можно посмотреть перед покупкой.",Недвижимость,"Гараж. Квартира светлая, после ремонта. Можно посмотреть перед покупкой."
Классическая рубашка,"Размер указан на фотографии, состояние отличное. Цена обсуждается.",Одежда,"Классическая рубашка. Размер указан на фотографии, состояние отличное. Цена обсуждается."
Kia Rio,Регулярно проходил техническое обслуживание. Срочная продажа.,Автомобили,Kia Rio. Регулярно проходил техническое обслуживание. Срочная продажа.
Беспроводные наушники,В комплекте зарядное устройство и оригинальная упаковка. Доставка обсуждается отдельно.,Электроника,Беспроводные наушники. В комплекте зарядное устройство и оригинальная упаковка. Доставка обсуждается отдельно.
Летнее платье,"Хранилось аккуратно, внешний вид сохранен. Пишите в сообщения.",Одежда,"Летнее платье. Хранилось аккуратно, внешний вид сохранен. Пишите в сообщения."
Женское пальто,"Продаю в связи с тем, что не подошел размер. Реальные фотографии.",Одежда,"Женское пальто. Продаю в связи с тем, что не подошел размер. Реальные фотографии."
Садовый дом,"Рядом школа, детский сад и магазины. Возможен торг.",Недвижимость,"Садовый дом. Рядом школа, детский сад и магазины. Возможен торг."
Обеденный стол,Мебель чистая и готова к использованию. Подробности расскажу по телефону.,Мебель,Обеденный стол. Мебель чистая и готова к использованию. Подробности расскажу по телефону.
Электронная книга,"Работает стабильно, недавно прошел проверку. Подробности расскажу по телефону.",Электроника,"Электронная книга. Работает стабильно, недавно прошел проверку. Подробности расскажу по телефону."
Ноутбук ASUS,Хороший вариант для дома или офиса. Подробности расскажу по телефону.,Электроника,Ноутбук ASUS. Хороший вариант для дома или офиса. Подробности расскажу по телефону.
Клавиатура механическая,В комплекте зарядное устройство и оригинальная упаковка. Самовывоз.,Электроника,Клавиатура механическая. В комплекте зарядное устройство и оригинальная упаковка. Самовывоз.
Угловой диван,"Использовалась аккуратно, все механизмы работают. Возможен торг.",Мебель,"Угловой диван. Использовалась аккуратно, все механизмы работают. Возможен торг."
Детская куртка,"Продаю в связи с тем, что не подошел размер. Подробности расскажу по телефону.",Одежда,"Детская куртка. Продаю в связи с тем, что не подошел размер. Подробности расскажу по телефону."
Игровая приставка,"Подойдет для работы, учебы и повседневных задач. Можно посмотреть перед покупкой.",Электроника,"Игровая приставка. Подойдет для работы, учебы и повседневных задач. Можно посмотреть перед покупкой."
Комната в общежитии,"Квартира светлая, после ремонта. Цена обсуждается.",Недвижимость,"Комната в общежитии. Квартира светлая, после ремонта. Цена обсуждается."
Компьютерный стол,"Использовалась аккуратно, все механизмы работают. Возможен торг.",Мебель,"Компьютерный стол. Использовалась аккуратно, все механизмы работают. Возможен торг."
iPhone в отличном состоянии,"Есть коробка, документы и необходимые аксессуары. Цена обсуждается.",Электроника,"iPhone в отличном состоянии. Есть коробка, документы и необходимые аксессуары. Цена обсуждается."
Квартира после ремонта,Подойдет для проживания семьи. Можно посмотреть перед покупкой.,Недвижимость,Квартира после ремонта. Подойдет для проживания семьи. Можно посмотреть перед покупкой.
Трехкомнатная квартира,Подойдет для проживания семьи. Пишите в сообщения.,Недвижимость,Трехкомнатная квартира. Подойдет для проживания семьи. Пишите в сообщения.
Планшет Samsung,Можно проверить при встрече перед покупкой. Возможен торг.,Электроника,Планшет Samsung. Можно проверить при встрече перед покупкой. Возможен торг.
Дизайн интерьера,"Большой опыт, возможен выезд к заказчику. Доставка обсуждается отдельно.",Услуги,"Дизайн интерьера. Большой опыт, возможен выезд к заказчику. Доставка обсуждается отдельно."
Обеденный стол,Удобный вариант для небольшой комнаты. Доставка обсуждается отдельно.,Мебель,Обеденный стол. Удобный вариант для небольшой комнаты. Доставка обсуждается отдельно.
Дом с участком,В квартире никто не проживает. Есть дополнительные фотографии.,Недвижимость,Дом с участком. В квартире никто не проживает. Есть дополнительные фотографии.
Toyota Camry,Регулярно проходил техническое обслуживание. Есть дополнительные фотографии.,Автомобили,Toyota Camry. Регулярно проходил техническое обслуживание. Есть дополнительные фотографии.
Фотосессия,Предварительно обсуждаем требования и результат. Возможен торг.,Услуги,Фотосессия. Предварительно обсуждаем требования и результат. Возможен торг.
Renault Logan,Есть комплект зимней резины. Можно посмотреть перед покупкой.,Автомобили,Renault Logan. Есть комплект зимней резины. Можно посмотреть перед покупкой.
Уборка квартир,Примеры выполненных работ отправлю по запросу. Цена обсуждается.,Услуги,Уборка квартир. Примеры выполненных работ отправлю по запросу. Цена обсуждается.
Дизайн интерьера,"Работаю с частными клиентами, стоимость обсуждается заранее. Есть дополнительные фотографии.",Услуги,"Дизайн интерьера. Работаю с частными клиентами, стоимость обсуждается заранее. Есть дополнительные фотографии."
Ремонт компьютеров,Примеры выполненных работ отправлю по запросу. Самовывоз.,Услуги,Ремонт компьютеров. Примеры выполненных работ отправлю по запросу. Самовывоз.
Дом с участком,"Рядом школа, детский сад и магазины. Реальные фотографии.",Недвижимость,"Дом с участком. Рядом школа, детский сад и магазины. Реальные фотографии."
Игровая приставка,"Отличное состояние, без серьезных следов использования. Самовывоз.",Электроника,"Игровая приставка. Отличное состояние, без серьезных следов использования. Самовывоз."
Фотоаппарат Canon,"Подойдет для работы, учебы и повседневных задач. Цена обсуждается.",Электроника,"Фотоаппарат Canon. Подойдет для работы, учебы и повседневных задач. Цена обсуждается."
Toyota Camry,Есть комплект зимней резины. Цена обсуждается.,Автомобили,Toyota Camry. Есть комплект зимней резины. Цена обсуждается.
Женские кеды,Дополнительные фотографии отправлю по запросу. Есть дополнительные фотографии.,Одежда,Женские кеды. Дополнительные фотографии отправлю по запросу. Есть дополнительные фотографии.
Фотосессия,"Большой опыт, возможен выезд к заказчику. Пишите в сообщения.",Услуги,"Фотосессия. Большой опыт, возможен выезд к заказчику. Пишите в сообщения."
Летнее платье,Можно примерить перед покупкой. Доставка обсуждается отдельно.,Одежда,Летнее платье. Можно примерить перед покупкой. Доставка обсуждается отдельно.
Renault Logan,"Салон аккуратный, без посторонних запахов. Самовывоз.",Автомобили,"Renault Logan. Салон аккуратный, без посторонних запахов. Самовывоз."
Ноутбук ASUS,"Полностью исправен, использовался аккуратно, все функции работают. Подробности расскажу по телефону.",Электроника,"Ноутбук ASUS. Полностью исправен, использовался аккуратно, все функции работают. Подробности расскажу по телефону."
iPhone в отличном состоянии,"Работает стабильно, недавно прошел проверку. Подробности расскажу по телефону.",Электроника,"iPhone в отличном состоянии. Работает стабильно, недавно прошел проверку. Подробности расскажу по телефону."
Женские кеды,Можно примерить перед покупкой. Можно посмотреть перед покупкой.,Одежда,Женские кеды. Можно примерить перед покупкой. Можно посмотреть перед покупкой.
Загородный дом,Тихий район с удобным подъездом. Реальные фотографии.,Недвижимость,Загородный дом. Тихий район с удобным подъездом. Реальные фотографии.
Игровая приставка,"Работает стабильно, недавно прошел проверку. Возможен торг.",Электроника,"Игровая приставка. Работает стабильно, недавно прошел проверку. Возможен торг."
Дизайн логотипа,"Большой опыт, возможен выезд к заказчику. Есть дополнительные фотографии.",Услуги,"Дизайн логотипа. Большой опыт, возможен выезд к заказчику. Есть дополнительные фотографии."
Lada Vesta,Регулярно проходил техническое обслуживание. Есть дополнительные фотографии.,Автомобили,Lada Vesta. Регулярно проходил техническое обслуживание. Есть дополнительные фотографии.
Загородный дом,В квартире никто не проживает. Можно посмотреть перед покупкой.,Недвижимость,Загородный дом. В квартире никто не проживает. Можно посмотреть перед покупкой.
Мужской свитер,Дополнительные фотографии отправлю по запросу. Доставка обсуждается отдельно.,Одежда,Мужской свитер. Дополнительные фотографии отправлю по запросу. Доставка обсуждается отдельно.
Таунхаус,Документы готовы к сделке. Пишите в сообщения.,Недвижимость,Таунхаус. Документы готовы к сделке. Пишите в сообщения.
